Site code,pH,NU Total phosphorus mg/L,NU Total nitrogen mg/L,NF Total phosphorus mg/L,NF Total nitrogen mg/L,NFB Total phosphorus mg/L,NFB Total nitrogen mg/L
ETT24.01,7.39,0.024200,0.195000,0.019333,0.312000,0.012500,0.070176
ETT24.02,7.55,0.024100,0.257000,0.019333,0.312000,0.022100,0.259720
ETT24.04,7.25,0.027700,0.235000,,,0.021500,0.280360
ETT24.05,7.01,0.022800,0.265000,0.019333,0.312000,0.020000,0.292400
ETT24.06,7.56,0.038600,0.344000,0.018800,0.331000,BDL,0.097180
ETT24.07,7.24,0.038900,0.342000,0.019933,0.323000,0.012300,0.054180
ETT24.08,7.37,0.037400,0.386000,0.021967,0.386333,0.006700,0.045838
ETT24.09,7.82,0.034100,0.421000,0.023333,0.416667,0.011300,0.064500
ETT24.10,8.09,0.030800,0.492000,0.023567,0.507000,0.009970,0.135880
ETT24.11,7.65,0.070200,0.789000,0.031600,0.789000,0.073600,0.759380
ETT24.12,7.71,0.039200,0.680000,0.026000,0.061830,0.008660,0.058394
ETT24.13,7.92,0.027600,0.446000,0.024433,0.049100,0.011100,0.136740
ETT24.14,8.02,0.038900,0.681000,0.026950,0.682500,0.011600,0.104060
ETT24.15,8.10,0.052400,0.700000,0.027433,0.593000,0.011500,0.101480
ETT24.16,7.15,0.090700,0.759000,0.065067,0.625700,0.011900,0.094600
ETT24.17,,0.064700,0.814000,0.031150,0.578000,0.064700,0.814000
ETT24.18,,0.043800,0.704000,0.026900,0.564500,0.043800,0.704000
ETT24.19,8.25,0.060900,0.768000,0.042100,0.659000,0.060900,0.768000
ETT24.20,8.27,0.063700,0.724000,0.042900,0.608000,0.063700,0.724000
ETT24.21,8.01,0.056500,0.687000,0.045000,0.645000,0.056500,0.687000
ETT24.22,8.98,0.062200,2.900000,0.044250,2.689500,0.062200,2.900000
ETT24.01,8.01,0.032100,0.247000,0.019600,0.252000,0.010000,0.061404
ETT24.02,8.47,0.028800,0.328000,0.021200,0.280500,0.010300,0.119540
ETT24.03,,0.017000,0.278000,0.020000,0.266000,0.006610,0.122120
ETT24.04,,0.031500,,0.019650,0.270000,0.008030,0.070950
ETT24.05,6.98,0.026900,0.153000,0.091200,0.086200,0.011900,0.064844
ETT24.06,7.34,0.057100,0.469000,0.029700,0.526607,0.012200,0.147920
ETT24.07,2.26,0.058000,0.577000,0.031950,0.522880,0.013800,0.257140
ETT24.08,7.17,0.030600,0.308000,0.021750,0.325080,0.008920,0.158240
ETT24.09,6.95,0.033800,0.356000,0.019767,0.335687,0.012200,0.140180
ETT24.10,7.38,0.033800,0.501000,0.022633,0.450640,0.012200,0.137600
ETT24.11,7.66,0.058600,1.140000,0.046900,1.006200,0.012000,0.077916
ETT24.12,7.45,0.054800,0.759000,0.027900,0.609453,0.011800,0.068886
ETT24.13,7.78,0.038400,0.716000,0.025100,0.737880,0.012400,0.090300
ETT24.14,7.98,0.044300,0.629000,0.025300,0.602000,0.010600,0.068284
ETT24.15,7.83,0.037900,0.630000,0.045200,0.795500,0.013600,0.195220
ETT24.16,7.70,0.048400,0.663000,0.022200,0.520300,0.011600,0.073702
ETT24.17,7.72,0.040800,0.632000,0.027133,0.520300,0.012000,0.061920
ETT24.18,7.68,0.040100,0.651000,0.026600,0.528040,0.011400,0.062178
ETT24.19,8.16,0.059200,0.805000,0.041900,0.681980,0.010800,0.064242
ETT24.20,8.85,0.053100,0.737000,0.041100,0.665640,0.010700,0.062694
ETT24.21,8.24,0.049600,0.744000,0.033600,0.645000,0.009360,0.067854
ETT24.22,8.24,0.045200,2.160000,0.037400,,0.037200,
,7.95,,,,,,
,,,,,,,
,8.19,,,,,,
,8.54,,,,,,
,,,,,,,
,8.54,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
