"sample_id","site","shannon"
"Site_01","Site_01",0.68894166413555
"Site_02","Site_02",0.990964474466968
"Site_03","Site_03",0.538416493303509
"Site_04","Site_04",1.1438526654952
"Site_05","Site_05",0
"Site_06","Site_06",1.38829715133375
"Site_07","Site_07",1.49802782815931
"Site_08","Site_08",0.494758770887804
"Site_09","Site_09",0.676171007455748
"Site_10","Site_10",1.6528421680398
"Site_11","Site_11",0.897403681135045
"Site_13","Site_13",1.51867007452275
"Site_14","Site_14",0.975959042448037
"Site_15","Site_15",1.12090053852782
"Site_16","Site_16",1.01329310249397
"Site_17","Site_17",1.27954188408811
"Site_18","Site_18",1.42511118257046
"Site_19","Site_19",1.20792008368723
"Site_20","Site_20",1.90955212114343
"Site_21","Site_21",1.50813344728944
"Site_22","Site_22",1.88971642975565
